source,target,task,input_text,target_text
"Some visitors may worry about the ethics of having fun in a place with a population suffering from record levels of anxiety and mental health problems. But all the locals we spoke to in Srinagar were wholeheartedly in favour of tourism. Amjid Gulzar, 26, said Abdullah could search for truth and reconciliation as well as encouraging foreign visitors. “He must do both; but without tourism, our economy will be in chaos,” he said, adding that while he welcomed the million tourists who visited this year, Kashmir had to do more to attract
big-spending visitors, especially foreigners.","Some visitors may feel it is not right to have fun in a place where local people have very high levels of anxiety and lots of mental health problems. But the local people in Srinagar like tourism. Amjid Gulzar, 26, said Abdullah should encourage foreign visitors. “Without tourism, our economy will be in chaos,” he said.",advanced_to_elementary,"simplify: Some visitors may worry about the ethics of having fun in a place with a population suffering from record levels of anxiety and mental health problems. But all the locals we spoke to in Srinagar were wholeheartedly in favour of tourism. Amjid Gulzar, 26, said Abdullah could search for truth and reconciliation as well as encouraging foreign visitors. “He must do both; but without tourism, our economy will be in chaos,” he said, adding that while he welcomed the million tourists who visited this year, Kashmir had to do more to attract
big-spending visitors, especially foreigners.","Some visitors may feel it is not right to have fun in a place where local people have very high levels of anxiety and lots of mental health problems. But the local people in Srinagar like tourism. Amjid Gulzar, 26, said Abdullah should encourage foreign visitors. “Without tourism, our economy will be in chaos,” he said."
"The job: A private butler can be called on by his or her employer to do anything from wardrobe management to chauffeuring and pet care. Typical duties include managing other staff, serving at every meal, running errands, looking after guests, booking restaurants, house security, housekeeping, cooking and anything else the household needs.","The job: An employer can ask a private butler to do anything from managing other staff, serving at every meal, running errands and looking after guests to booking restaurants, house security, housekeeping and cooking.",advanced_to_elementary,"simplify: The job: A private butler can be called on by his or her employer to do anything from wardrobe management to chauffeuring and pet care. Typical duties include managing other staff, serving at every meal, running errands, looking after guests, booking restaurants, house security, housekeeping, cooking and anything else the household needs.","The job: An employer can ask a private butler to do anything from managing other staff, serving at every meal, running errands and looking after guests to booking restaurants, house security, housekeeping and cooking."
"Jenny Holdcroft, policy director for IndustriALL,
which has been closely involved in the Accord,
said that the agreement ensured that factories
would not lose orders during closure because
brands had committed to maintain orders with
suppliers for two years.","Jenny Holdcroft, policy director for IndustriALL,
which has been closely involved in the Accord,
said that the agreement made sure that factories
would not lose orders during closure because
companies agreed to continue orders with
suppliers for two years.",advanced_to_elementary,"simplify: Jenny Holdcroft, policy director for IndustriALL,
which has been closely involved in the Accord,
said that the agreement ensured that factories
would not lose orders during closure because
brands had committed to maintain orders with
suppliers for two years.","Jenny Holdcroft, policy director for IndustriALL,
which has been closely involved in the Accord,
said that the agreement made sure that factories
would not lose orders during closure because
companies agreed to continue orders with
suppliers for two years."
Quali cations: You donÕt necessarily need a degree in computer science. The industry accepts individuals with a very wide range of academic quali cations and skills.,Quali cations: You donÕt need a degree in computer science. The industry accepts people with a very wide range of quali cations and skills.,advanced_to_elementary,simplify: Quali cations: You donÕt necessarily need a degree in computer science. The industry accepts individuals with a very wide range of academic quali cations and skills.,Quali cations: You donÕt need a degree in computer science. The industry accepts people with a very wide range of quali cations and skills.
"The tournament’s “extreme heat” contingency plan was put into force for women’s matches on Tuesday, allowing an extra ten-minute break between the second and third sets. Under a change to the rules for 2014, however, the decision on whether to stop matches at the tournament is now at the discretion of the tournament director, Wayne McKewen.","Organizers said the highest temperature
was 42.2C in the early evening on Tuesday
but it was never hot enough to stop
the matches.",advanced_to_elementary,"simplify: The tournament’s “extreme heat” contingency plan was put into force for women’s matches on Tuesday, allowing an extra ten-minute break between the second and third sets. Under a change to the rules for 2014, however, the decision on whether to stop matches at the tournament is now at the discretion of the tournament director, Wayne McKewen.","Organizers said the highest temperature
was 42.2C in the early evening on Tuesday
but it was never hot enough to stop
the matches."
"He says itÕs not as simple as persuading teenagers to go to bed earlier. ÒThe bodyÕs natural rhythm is controlled by a particular kind of light,Ó says Kelley. ÒThe eye doesnÕt just contain rods and cones; it contains cells that then report to the suprachiasmatic nuclei in the hypothalamus.Ó This part of the brain controls our circadian rhythms over a 24-hour cycle. ÒItÕs the light that controls it. ItÕs like saying: ÔWhy canÕt you control your heartbeat?ÕÓ","He says the solution is not to tell teenagers to go to bed earlier. ÒThe bodyÕs natural rhythmis controlled by a particular kind of light,Ó says Kelley. ÒThe eye has cells that report to a part of the brain that controls our sleep rhythms over a 24-hour cycle. ItÕs the light that controls it.Ó",advanced_to_elementary,"simplify: He says itÕs not as simple as persuading teenagers to go to bed earlier. ÒThe bodyÕs natural rhythm is controlled by a particular kind of light,Ó says Kelley. ÒThe eye doesnÕt just contain rods and cones; it contains cells that then report to the suprachiasmatic nuclei in the hypothalamus.Ó This part of the brain controls our circadian rhythms over a 24-hour cycle. ÒItÕs the light that controls it. ItÕs like saying: ÔWhy canÕt you control your heartbeat?ÕÓ","He says the solution is not to tell teenagers to go to bed earlier. ÒThe bodyÕs natural rhythmis controlled by a particular kind of light,Ó says Kelley. ÒThe eye has cells that report to a part of the brain that controls our sleep rhythms over a 24-hour cycle. ItÕs the light that controls it.Ó"
"The vital importance of clean water is becoming harder and harder to ignore, as California enters another summer of drought. ItÕs becoming clear that clean water is one of the worldÕs most valuable commodities and one that will soon be in short supply. Add in the environmental effect of all those body wash bottles and youÕve got yourself a handful of very compelling reasons to let your body go au naturel.","The importance of clean water is becoming harder and harder to ignore Ð for example, there is another summer of drought in California.ItÕs becoming clear that clean water is one ofthe most valuable things in the world and we soon wonÕt have enough. There is also the environmental effect of all those body wash bottles. So, there are many very good reasons to shower less.",advanced_to_elementary,"simplify: The vital importance of clean water is becoming harder and harder to ignore, as California enters another summer of drought. ItÕs becoming clear that clean water is one of the worldÕs most valuable commodities and one that will soon be in short supply. Add in the environmental effect of all those body wash bottles and youÕve got yourself a handful of very compelling reasons to let your body go au naturel.","The importance of clean water is becoming harder and harder to ignore Ð for example, there is another summer of drought in California.ItÕs becoming clear that clean water is one ofthe most valuable things in the world and we soon wonÕt have enough. There is also the environmental effect of all those body wash bottles. So, there are many very good reasons to shower less."
"Lego, based in the small town of Billund, started
producing its plastic bricks in 1949 and became
a staple children’s toy around the world by the
1970s. But the group lost its way and was on the
brink of collapse in 2003. Knudstrop took over
as chief executive, ending 70 years of family
rule, and ditched hundreds of surplus products to
refocus the business on its trademark bricks.","In 2003, the company nearly collapsed. Then,
Knudstrop became Lego’s new chief executive.
He got rid of hundreds of products and, then,
refocused the business on its bricks.",advanced_to_elementary,"simplify: Lego, based in the small town of Billund, started
producing its plastic bricks in 1949 and became
a staple children’s toy around the world by the
1970s. But the group lost its way and was on the
brink of collapse in 2003. Knudstrop took over
as chief executive, ending 70 years of family
rule, and ditched hundreds of surplus products to
refocus the business on its trademark bricks.","In 2003, the company nearly collapsed. Then,
Knudstrop became Lego’s new chief executive.
He got rid of hundreds of products and, then,
refocused the business on its bricks."
"Job satisfaction: “I love the rush of live presenting
and having to think on my feet every second,” says
Ryan. “I also get an adrenaline rush from knowing
that, at times, I have thousands of viewers ordering
the product that I have just been presenting.”","Job satisfaction: “I love presenting live TV and
having to think quickly,” says Ryan. “I also love
knowing that, at times, thousands of people are
buying the product that I have just presented.”",advanced_to_elementary,"simplify: Job satisfaction: “I love the rush of live presenting
and having to think on my feet every second,” says
Ryan. “I also get an adrenaline rush from knowing
that, at times, I have thousands of viewers ordering
the product that I have just been presenting.”","Job satisfaction: “I love presenting live TV and
having to think quickly,” says Ryan. “I also love
knowing that, at times, thousands of people are
buying the product that I have just presented.”"
"Along with new names, the scientists must
propose two-letter symbols for the elements.
When IUPAC has received the researchers’
suggestions, they will be put up for public review
for five months. That allows scientists and others
to raise any objections. In 1996, the symbol
Cp was proposed for copernicium, or element
112, but it was swapped to Cn when scientists
complained that Cp referred to
another substance.","Scientists must find new names for the elements
but, also, they must suggest two-letter symbols
for the elements. When IUPAC has received the
researchers’ suggestions, they will tell the public
so that people can comment on the names. That
allows scientists and others to find any problems
with the names. In 1996, someone suggested
the symbol Cp for copernicium, or element
112, but it was changed to Cn, when scientists
complained that Cp was already the symbol for
another substance.",advanced_to_elementary,"simplify: Along with new names, the scientists must
propose two-letter symbols for the elements.
When IUPAC has received the researchers’
suggestions, they will be put up for public review
for five months. That allows scientists and others
to raise any objections. In 1996, the symbol
Cp was proposed for copernicium, or element
112, but it was swapped to Cn when scientists
complained that Cp referred to
another substance.","Scientists must find new names for the elements
but, also, they must suggest two-letter symbols
for the elements. When IUPAC has received the
researchers’ suggestions, they will tell the public
so that people can comment on the names. That
allows scientists and others to find any problems
with the names. In 1996, someone suggested
the symbol Cp for copernicium, or element
112, but it was changed to Cn, when scientists
complained that Cp was already the symbol for
another substance."
Worst thing about the job: When you are called in to test the security of a new customerÕs network only to discover that they have already been the victim of a data breach.,Worst thing about the job: When you are testing the security of a new customerÕs network and you  nd that they have already been hacked.,advanced_to_elementary,simplify: Worst thing about the job: When you are called in to test the security of a new customerÕs network only to discover that they have already been the victim of a data breach.,Worst thing about the job: When you are testing the security of a new customerÕs network and you  nd that they have already been hacked.
"“One key reason why air pollution kills 400,000
citizens annually is that car makers cheat the
tests for diesel cars, causing many times more
pollution on the road,” said Greg Archer, the clean
vehicles manager for Transport and Environment.
“The development of a new, real-world driving
emission test is an important step forward in
tackling urban air pollution. EU states should now
support the Commission’s proposals and ignore
the whingeing from car makers that the rules are
too tough.”","“One key reason why air pollution kills 400,000
European citizens each year is that car makers
cheat the tests for diesel cars – this causes
much more pollution on the road,” said Greg
Archer, the clean vehicles manager for Transport
and Environment. “The development of a new,
real-world driving emission test is an important
step towards reducing air pollution in cities.
European Union (EU) states should now support
the Commission’s idea. They should ignore the
complaints from car makers, who say that the
rules are too tough.”",advanced_to_elementary,"simplify: “One key reason why air pollution kills 400,000
citizens annually is that car makers cheat the
tests for diesel cars, causing many times more
pollution on the road,” said Greg Archer, the clean
vehicles manager for Transport and Environment.
“The development of a new, real-world driving
emission test is an important step forward in
tackling urban air pollution. EU states should now
support the Commission’s proposals and ignore
the whingeing from car makers that the rules are
too tough.”","“One key reason why air pollution kills 400,000
European citizens each year is that car makers
cheat the tests for diesel cars – this causes
much more pollution on the road,” said Greg
Archer, the clean vehicles manager for Transport
and Environment. “The development of a new,
real-world driving emission test is an important
step towards reducing air pollution in cities.
European Union (EU) states should now support
the Commission’s idea. They should ignore the
complaints from car makers, who say that the
rules are too tough.”"
"Fraser Christian, who teaches maritime survival courses at his Coastal Survival School in Dorset, said the man’s story, if true, would be remarkable but far from unique. It was entirely possible to catch turtles or small fish by hand, he said, since “they are inquisitive and they will approach a small boat to shelter underneath it”. Christian advises clients who find themselves forced to eat turtles to start with their eyes – “lots of fluid” – then move on to the blood.","Fraser Christian, who teaches people how to survive at sea, said that if the man’s story was true, it would be amazing but not unique. It was possible to catch turtles or small fish by hand, he said, because “they will come close to a small boat to shelter underneath it”. Christian advises people who have to eat turtles to start with their eyes – “lots of fluid” – then drink the blood.",advanced_to_elementary,"simplify: Fraser Christian, who teaches maritime survival courses at his Coastal Survival School in Dorset, said the man’s story, if true, would be remarkable but far from unique. It was entirely possible to catch turtles or small fish by hand, he said, since “they are inquisitive and they will approach a small boat to shelter underneath it”. Christian advises clients who find themselves forced to eat turtles to start with their eyes – “lots of fluid” – then move on to the blood.","Fraser Christian, who teaches people how to survive at sea, said that if the man’s story was true, it would be amazing but not unique. It was possible to catch turtles or small fish by hand, he said, because “they will come close to a small boat to shelter underneath it”. Christian advises people who have to eat turtles to start with their eyes – “lots of fluid” – then drink the blood."
"The defending champion Victoria Azarenka took the same line. “It felt pretty hot, like you’re dancing in a frying pan or something like that,” she said.","Victoria Azarenka said, “It felt pretty hot, like
you’re dancing in a frying pan or something
like that.”",advanced_to_elementary,"simplify: The defending champion Victoria Azarenka took the same line. “It felt pretty hot, like you’re dancing in a frying pan or something like that,” she said.","Victoria Azarenka said, “It felt pretty hot, like
you’re dancing in a frying pan or something
like that.”"
"Piles of digitized material – from blogs, tweets,
pictures and videos to official documents such
as court rulings and emails – may be lost forever
because the programs needed to view them will
become defunct, Google’s vice-president has
warned. Humanity’s first steps into the digital world
could be lost to future historians, Vint Cerf told
the American Association for the Advancement of
Science’s annual meeting in San Jose, California,
warning that we faced a “forgotten generation or
even a forgotten century” through what he called
“bit rot”, where old computer files become
useless junk.","The vice-president of Google has warned that
digitized material from blogs, tweets, pictures,
videos and official documents such as emails could
be lost forever because the programs we need to
view them will no longer exist. Our first steps into
the digital world could be lost to future historians,
Vint Cerf told the American Association for the
Advancement of Science’s annual meeting. He said
that we might become a “forgotten generation or
even a forgotten century” because of “bit rot”, where
old computer files become useless junk.",advanced_to_elementary,"simplify: Piles of digitized material – from blogs, tweets,
pictures and videos to official documents such
as court rulings and emails – may be lost forever
because the programs needed to view them will
become defunct, Google’s vice-president has
warned. Humanity’s first steps into the digital world
could be lost to future historians, Vint Cerf told
the American Association for the Advancement of
Science’s annual meeting in San Jose, California,
warning that we faced a “forgotten generation or
even a forgotten century” through what he called
“bit rot”, where old computer files become
useless junk.","The vice-president of Google has warned that
digitized material from blogs, tweets, pictures,
videos and official documents such as emails could
be lost forever because the programs we need to
view them will no longer exist. Our first steps into
the digital world could be lost to future historians,
Vint Cerf told the American Association for the
Advancement of Science’s annual meeting. He said
that we might become a “forgotten generation or
even a forgotten century” because of “bit rot”, where
old computer files become useless junk."
The job: A social engineer is paid by a company to try to trick its employees into divulging con dential information that allows the engineer to access sensitive company data or the companyÕs computer network.,The job: Companies pay a social engineer to try to trick their employees and make them give the engineer secret information.,advanced_to_elementary,simplify: The job: A social engineer is paid by a company to try to trick its employees into divulging con dential information that allows the engineer to access sensitive company data or the companyÕs computer network.,The job: Companies pay a social engineer to try to trick their employees and make them give the engineer secret information.
"“You’ve had British citizens killed more recently in countries that you still haven’t stopped people from visiting. I mean, how many British citizens did you lose in 9/11? Did you stop people from visiting New York? You’ve lost them in Spain, in Bali; tell me where you haven’t lost them,” said Abdullah. “We’ve lost Indians in London. There is still a possibility that al-Qaida could do something stupid like they have done in the past, but we haven’t stopped Indians from travelling to London. There is no reason to single out Jammu and Kashmir, or even Srinagar, as an unsafe destination.”","“British citizens have been killed more recently in other countries. I mean, how many British citizens were killed on 9/11? Did you stop people from visiting New York? You’ve lost them in Spain, in Bali,” said Abdullah. “We’ve lost Indians in London. There is still a possibility that al-Qaida could do something stupid, but we haven’t stopped Indians from travelling to London. There is no reason
to say Kashmir, or even Srinagar, is a
dangerous destination.”",advanced_to_elementary,"simplify: “You’ve had British citizens killed more recently in countries that you still haven’t stopped people from visiting. I mean, how many British citizens did you lose in 9/11? Did you stop people from visiting New York? You’ve lost them in Spain, in Bali; tell me where you haven’t lost them,” said Abdullah. “We’ve lost Indians in London. There is still a possibility that al-Qaida could do something stupid like they have done in the past, but we haven’t stopped Indians from travelling to London. There is no reason to single out Jammu and Kashmir, or even Srinagar, as an unsafe destination.”","“British citizens have been killed more recently in other countries. I mean, how many British citizens were killed on 9/11? Did you stop people from visiting New York? You’ve lost them in Spain, in Bali,” said Abdullah. “We’ve lost Indians in London. There is still a possibility that al-Qaida could do something stupid, but we haven’t stopped Indians from travelling to London. There is no reason
to say Kashmir, or even Srinagar, is a
dangerous destination.”"
"Worst part of the job: Cleaning up after suicides.
“You get used to the job being disgusting but the
emotional side of it is still hard.” You learn not to take
your work home with you, he says. “You also need to
have a sense of humour, as some days can be tough.”","Worst part of the job: Cleaning up after suicides.
“You get used to the job being disgusting. But the
emotional side of the job is still hard,” he says. “You
also need to have a sense of humour because some
days can be difficult.”",advanced_to_elementary,"simplify: Worst part of the job: Cleaning up after suicides.
“You get used to the job being disgusting but the
emotional side of it is still hard.” You learn not to take
your work home with you, he says. “You also need to
have a sense of humour, as some days can be tough.”","Worst part of the job: Cleaning up after suicides.
“You get used to the job being disgusting. But the
emotional side of the job is still hard,” he says. “You
also need to have a sense of humour because some
days can be difficult.”"
"Europe is to become the first place in the world to
force ‘real-world’ emissions tests on car makers,
opening up a new front in the fight to tackle air
pollution. New regulations will introduce the tests
to reveal what cars’ emissions are like when
driving on roads and in traffic rather than in ideal,
laboratory-like conditions, as is currently
the case.","Europe is trying to reduce air pollution. Europe
will become the first part of the world to force
car makers to use ‘real-world’ emissions tests.
New regulations will introduce tests that will
demonstrate clearly what cars’ emissions are like
when they are driving on roads and in traffic, not
in ideal conditions, similar to a laboratory.",advanced_to_elementary,"simplify: Europe is to become the first place in the world to
force ‘real-world’ emissions tests on car makers,
opening up a new front in the fight to tackle air
pollution. New regulations will introduce the tests
to reveal what cars’ emissions are like when
driving on roads and in traffic rather than in ideal,
laboratory-like conditions, as is currently
the case.","Europe is trying to reduce air pollution. Europe
will become the first part of the world to force
car makers to use ‘real-world’ emissions tests.
New regulations will introduce tests that will
demonstrate clearly what cars’ emissions are like
when they are driving on roads and in traffic, not
in ideal conditions, similar to a laboratory."
